ю╖д║,цЬа╓юо╫ц,цЬа╓аж╠Б,фР╠у╟╙,цж╪р╟╙,цж╢К╟╙
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 03:00,H,99990,99980,100010
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 04:00,H,100025,100010,100040
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 05:00,H,100060,100050,100070
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 06:00,H,100087,100080,100090
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 07:00,H,100105,100100,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 08:00,H,100132,100130,100140
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 09:00,H,100157,100150,100170
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 10:00,H,100157,100140,100180
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 11:00,H,100115,100100,100130
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 12:00,H,100057,100030,100080
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 13:00,H,100005,99980,100030
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 14:00,H,99953,99930,99980
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 15:00,H,99900,99880,99930
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 16:00,H,99898,99890,99910
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 17:00,H,99920,99910,99930
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 18:00,H,99942,99930,99950
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 19:00,H,99987,99960,100010
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 20:00,H,100058,100030,100080
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 21:00,H,100087,100080,100090
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 22:00,H,100082,100070,100090
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-01 23:00,H,100083,100080,100090
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 00:00,H,100103,100090,100110
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 01:00,H,100102,100100,100110
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 02:00,H,100102,100100,100110
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 03:00,H,100090,100080,100100
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 04:00,H,100075,100070,100090
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 05:00,H,100090,100080,100100
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 06:00,H,100113,100110,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 07:00,H,100108,100100,100110
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 08:00,H,100110,100100,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 09:00,H,100112,100100,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 10:00,H,100088,100070,100100
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 11:00,H,100047,100040,100060
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 12:00,H,99980,99980,99980
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 13:00,H,99958,99940,99980
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 14:00,H,99907,99880,99920
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 15:00,H,99877,99870,99880
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 16:00,H,99880,99870,99890
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 17:00,H,99890,99870,99900
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 18:00,H,99892,99890,99900
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 19:00,H,99922,99900,99950
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 20:00,H,100017,99970,100050
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 21:00,H,100047,100040,100050
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 22:00,H,100067,100050,100080
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-02 23:00,H,100073,100070,100080
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 00:00,H,100072,100050,100090
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 01:00,H,100093,100090,100100
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 02:00,H,100080,100070,100090
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 03:00,H,100103,100100,100110
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 04:00,H,100092,100080,100100
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 05:00,H,100092,100090,100100
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 06:00,H,100120,100100,100130
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 07:00,H,100142,100140,100150
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 08:00,H,100145,100140,100160
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 09:00,H,100172,100170,100180
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 10:00,H,100158,100140,100170
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 11:00,H,100142,100140,100150
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 12:00,H,100093,100050,100120
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 13:00,H,100023,100010,100050
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 14:00,H,100010,100000,100020
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 15:00,H,99985,99970,100010
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 16:00,H,99972,99960,99980
╟ОаЖ╬ою╬AWS(╠╓аж),2023-09-03 17:00,H,99977,99960,99990
